,Unnamed: 0,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,year,cast,crew,keywords,movieId,imdbId,tmdbId
21383,21383,False,,0,Drama,http://www.fruitvalefilm.com/,157354,tt2334649,English,Fruitvale Station,"The true story of Oscar, a 22-year-old Bay Area resident, who crosses paths with friends, enemies, family, and strangers on the last day of 2008.",13.305596,/zwPYTHFCgWYHRW1OoxE23dxZZRX.jpg,nan,United_States_of_America,2013-07-25,17385830.0,85.0,English,Released,Every step brings you closer to the edge,Fruitvale Station,False,7.3,397.0,2013,"Michael B. Jordan,Octavia Spencer,Melonie Diaz,Ahna O'Reilly,Kevin Durand,Chad Michael Murray,Christina Elmore,Ariana Neal,Trestin George,Chris Riedell,Joey Oglesby",Ryan Coogler,"police brutality,based on true story,racism,docudrama,day in a life",,,
23136,23136,False,,0,Documentary,http://www.fightville.net/,94331,tt1703232,English,Fightville,"FIGHTVILLE is about the art and sport of fighting: a microcosm of life, a physical manifestation of that other brutal contest called the American Dream...",0.439409,/20KhmmbnGnqraLjyy6bnlyVySKh.jpg,nan,United_States_of_America,2011-03-12,0.0,85.0,English,Released,We Build Better Men,Fightville,False,5.8,4.0,2011,"'Crazy' Tim Credeur,Gil 'The Thrill' Guillory,Dustin 'The Diamond' Poirier,Albert Stainback",Petra Epperlein,woman director,,,
24074,24074,False,,0,"War,Drama,History",,25032,tt1244496,English,Aleksandr. Nevskaya bitva,"Young prince Aleksandr has to hold out against two enemies - the Horde in the east and the Teutonic order and Sweden in the west. He discovers that some boyars are plotting against him and are ready to betray Novgorod to the Swedes and the Germans to boost their trade. Meanwhile, his best friend falls under suspicion, as somebody tries to poison the young prince at his own wedding feast. Aleksandr has no way out - to defend his people against the invaders and to find the true poisoner.",1.524195,/wZW5cWinJN5DmIVSwPmTCVT7qVn.jpg,Nikola_Film,Russia,2008-05-01,0.0,110.0,Pусский,Released,,Alexander: The Neva Battle,False,3.8,2.0,2008,"Anton Pampushnyy,Bogdan Stupka,Andrey Fedortsov,Svetlana Bakulina,Igor Botvin,Dmitriy Bykovskiy-Romashov,Yuliya Galkina,Valeri Kukhareshin,Sergey Lysov",Igor Kalenov,,,,
24210,24210,False,,0,"Comedy,Romance",,76047,tt0086488,Swedish,Två killar och en tjej,Three friends who haven't seen each other for seventeen years reunite and have a lot to tell about what has happened in the meantime. The film follows the friends for some time afterwards and then moves another twenty years in the future...,0.005792,/ctSDs5szyv8oyaGHhDt2dJLo7lv.jpg,nan,Sweden,1983-03-25,0.0,111.0,svenska,Released,,Två killar och en tjej,False,5.0,1.0,1983,"Brasse Brännström,Magnus Härenstam,Pia Green,Lars Amble,Ewa Fröling",Lasse Hallström,,,,
24601,24601,False,,0,"Animation,Family",,41097,tt0112545,Spanish,A hetedik testvér,A lost puppy learns a lesson about the importance of family in this charming Hungarian animated feature.,0.470742,/veHwvaerXmLRPbgPJC85tus24SG.jpg,Pannónia,"Hungary,United_States_of_America,Germany",1991-01-25,0.0,76.0,Magyar,Released,,The Seventh Brother,False,5.0,5.0,1991,,Jenö Koltai,,,,
25361,25361,False,,0,Documentary,http://www.showrunnersthemovie.com/,147778,tt1942971,English,Showrunners: The Art of Running a TV Show,"“Showrunners” is the first ever feature length documentary film to explore the fascinating world of US television showrunners and the creative forces aligned around them. These are the people responsible for creating, writing and overseeing every element of production on one of the United State’s biggest exports – television drama and comedy series.  Often described as the most complex job in the entertainment business, a showrunner is the chief writer / producer on a TV series and, in most instances, the show’s creator. Battling daily between art and commerce, showrunners manage every aspect of a TV show’s development and production: creative, financial and logistical.",2.792369,/t5Jn34R3ajSjmQi6sG4OqvYs4j0.jpg,Black_Sheep_Films,"Ireland,United_States_of_America",2014-10-17,0.0,76.0,English,Released,Their Vision Is Television,Showrunners: The Art of Running a TV Show,False,6.2,29.0,2014,"Joss Whedon,J.J. Abrams,Steven S. DeKnight,Ronald D. Moore,Jane Espenson,Jonathan Nolan,Chris Downey,Javier Grillo-Marxuach,Hart Hanson,Damon Lindelof,Anthony LaPaglia,Ali LeRoi,David Nevins,Jason O'Mara,Greg Plageman,Bill Prady,Ray Romano,Mike Royce,Shawn Ryan,Kurt Sutter,Janet Tamaro,Terence Winter,J.H. Wyman,Michelle King,Robert King,Jeff Pinkner",Des Doyle,"television,production",,,
26889,26889,False,,0,"Adventure,Animation,Comedy,Family",,1260,tt0447249,Estonian,Leiutajateküla Lotte,"Somewhere in Europe by a great sea stands a small village, where inventing all manner of domestic gadgets is held in great esteem. The villagers organize an annual competition of new inventions. One of the best inventors in the village is Oskar, the father of the energetic girl dog Lotte. His primary rival is Adalbert the Hare. Victory in this competition is very important as it would bring honour to the entire family.",0.270086,/b8L0pXMTWO2FbNDqCCVPBqJALwV.jpg,nan,nan,2006-08-25,0.0,81.0,"Eesti,Nederlands",Released,,Lotte from Gadgetville,False,9.0,4.0,2006,"Evelin Võigemast,Argo Aadli,Andero Ermel,Lembit Ulfsak,Garmen Tabor,Marko Matvere,Piret Kalda,Peeter Oja,Elina Reinold,Harriet Toompere,Mait Malmsten,Margus Tabor,Aarne Üksküla,Peeter Tammearu",,,1260.0,22100.0,832.0
28192,28192,False,,0,"War,Thriller",,134733,tt0063332,Russian,Myortvyy Sezon,A duel between Soviet spy and German war criminal.,0.473351,/pUlhD7ZYjd5fCWH2QJgoU6KdPlH.jpg,Lenfilm,Russia,1968-12-20,0.0,138.0,Pусский,Released,,The Dead Season,False,5.4,5.0,1968,"Donatas Banionis,Rolan Bykov,Bruno Frejndlikh,Gennadiy Yukhtin,Jüri Järvet,Sergei Kurilov",Savva Kulish,,,,
29314,29314,False,,0,"Drama,Fantasy,Horror,Romance",,70349,tt0078054,Czech,Panna a netvor,"Julie, the youngest daughter of a bankrupt merchant, sacrifices her life in order to save her father. She goes to an enchanted castle in the woods and meets Netvor, a bird-like monster. As Netvor begins to fall in love with Julie, he must suppress his beastly urge to kill her.",2.936378,/u9QnrRADpVwUtnSSVacrmf6UVQM.jpg,Filmové_Studio_Barrandov,Czech_Republic,1978-03-01,0.0,83.0,Český,Released,,Beauty and the Beast,False,7.8,20.0,1978,"Zdena Studénková,Vlastimil Harapes,Václav Voska,Jana Brejchová,Zuzana Kocúriková,Marta Hrachovinová,Vít Olmer,Jan Přeučil,Jan Augusta,Milan Hein",Juraj Herz,"castle,fairy tale,beast",,,
30367,30367,False,,12000000,"Drama,War",,34449,tt0064091,Serbian,Bitka na Neretvi,"In January 1943 the German army, afraid of an Allied invasion of the Balkans, launched a great offensive against Yugoslav Partisans in Western Bosnia. The only way out for the Partisan forces and thousands of refugees was the bridge on the river Neretva.",1.78856,/f5kliqLDzZcd7kFDhVy6eU8IDd3.jpg,"Jadran_Film,Eichberg-Film,Igor_Film,Bosna_Film,Yugoslavia_Film,IFC_International,United_Yugoslavia_Producers","Croatia,Bosnia_and_Herzegovina,United_States_of_America,Serbia,Italy,Germany",1969-10-07,0.0,145.0,"Bosanski,Hrvatski,English,Deutsch,Italiano,Srpski",Released,,The Battle of Neretva,False,6.2,11.0,1969,"Orson Welles,Yul Brynner,Curd Jürgens,Hardy Krüger,Anthony Dawson,Franco Nero,Velimir „Bata“ Živojinović,​Ljubiša Samardžić,Milena Dravić,Sergey Bondarchuk",Veljko Bulajić,"world war ii,river battle,1940s",,,
32336,32336,False,,0,Drama,,5871,tt1178197,Bulgarian,Svetat e golyam i spasenie debne otvsyakade,"The story of Alex, who, with the help of his charismatic grandfather, embarks on a journey in search of his real self.",2.114403,/uFceiXypTwqZ1zoM7M8gF66q0Ud.jpg,"Pallas_Film,RFF_International,Vertigo/Emotionfilm,Inforg_Stúdió,BNT","Bulgaria,Germany,Hungary,Serbia,Slovenia",2008-03-14,0.0,105.0,"български език,Deutsch",Released,,The World is Big and Salvation Lurks Around the Corner,False,7.0,10.0,2008,"Carlo Ljubek,Predrag 'Miki' Manojlović,Hristo Mutafchiev,Ana Papadopulu,Lyudmila Cheshmedzhieva,Nikolai Urumov,Blagovest Mutafchiev,Vasil Vasilev-Zueka,Dorka Gryllus,Heinz-Josef Braun,Erden Alkan,Pavel Popandov,Georgi Kadurin,Stefan Valdobrev,Alexander Doynov",Stephan Komandarev,"migration,backgammon",5871.0,230252.0,277724.0
35145,35145,False,,0,nan,,345575,tt3280150,Norwegian,Kampen om tungtvannet,"The story about the heavy water war unfolds during the prolouge, eruption and the end of the second world war. We follow the story of the the key personnel in the race of who develops the atomic bomb first.",1.064188,/lkFqzQSLOl49i9LjR42BVmHok5B.jpg,"Filmkameratene_AS,Sveriges_Television_(SVT),Norsk_Rikskringkasting_(NRK),Sirena_Film,Headline_Pictures,Sebasto_Film_&_TV",Norway,2015-01-04,0.0,270.0,"Dansk,English,Deutsch,Norsk",Released,With A Nuclear Weapon Hitler Would Have Won The War,The Saboteurs,False,8.0,6.0,2015,"Espen Klouman-Høiner,Christoph Bach,Dennis Storhøi,Anna Friel,Pip Torrens,Søren Pilmark,Maibritt Saerens,Peri Baumeister,Robert Hunger-Bühler,Andreas Döhler,Espen Reboli Bjerke,David Zimmerschied,Stein Winge,Torstein Bjørklund,Benjamin Helstad,Rolf Kristian Larsen,Christian Rubeck,Audun Sandem,Endre Ellefsen,Ole Christoffer Ertvaag,Eirik Evjen,Frank Kjosås,Mads Sjøgård Pettersen,Tobias Santelmann,Marc Benjamin Puch,Corey Johnson",Per-Olav Sørensen,miniseries,,,
35390,35390,False,,0,"Thriller,Crime,Drama",http://www.deheinekenontvoering.com,76808,tt1846526,Dutch,De Heineken Ontvoering,"On a cold November day in 1983, is the world's most successful and richest brewer Alfred Heineken and his chauffeur Ab Doderer the door of his office abducted. What follows is the most notorious and infamous kidnapping case that the Netherlands has ever known. Twenty exhausting and nerve-grueling days staying the manufacturer in a cold, cramped cell, chained down and for the first time in his life utterly powerless. His kidnappers, four criminal friends from Amsterdam, encounter great difficulty to collect the ransom (excerpt from http://www.heinekenontvoering.com/synopsis).",2.781244,/ndFi4xTOW7SCs1xwOKlmEkg0Qkx.jpg,IDTV_Film,Netherlands,2011-10-27,0.0,120.0,"Nederlands,Français,Deutsch",Released,,The Heineken Kidnapping,False,6.2,21.0,2011,"Rutger Hauer,Reinout Scholten van Aschat,Gijs Naber,Teun Kuilboer,Korneel Evers,Menno van Beekum,Marcel Hensema,Laurie Reijs,Sallie Harmsen,Marjolein Keuning,Truus te Selle,Genio De Groot,Porgy Franssen,Beppie Melissen,Ton Kas,Patrick Stoof,Ernst Dekkers,Henk Poort,Arnost Kraus,Dave Mantel,Gaby de Haan,Geert Gielissen,Jean Teplitsky",Maarten Treurniet,"kidnapping,beer",76808.0,799991.0,96010.0
38215,38215,False,,0,"Adventure,Family,Fantasy",,20891,tt0145033,Russian,Korolevstvo Krivykh Zerkal,"Kingdom of Crooked Mirrors is a 1964 Soviet fairy tale film directed by Aleksandr Rou based on a story with the same name by Vitali Gubarev. Both the surreal story by Vladimir Gubarev, together with the 1964 film, written in a Through The Looking Glass style. Alice-type Soviet girl, named Olya meets her counterpart Yalo, while looking into the mirror. Yalo is an absolute antipode to Olya, for example where Olya is precise and neat, Yalo is absent-minded, careless, etc. The explicit plot relates to Olya learning to see herself differently, but this occurs through an experience in the Kingdom of Crooked Mirrors which serves as a mechanism for commenting on the ability of a society to manufacture a false reality.",1.22313,/5noVt8y6OAHUBJX43z7vz3RAgr5.jpg,Gorky_Film_Studios,Russia,1963-05-05,0.0,80.0,Pусский,Released,,Kingdom of Crooked Mirrors,False,6.0,9.0,1963,"Olga Yukina,Tatyana Yukina,Anatoli Kubatsky,Andrey Fayt,Tamara Nosova,Tatyana Barysheva,Arkadi Tsinman,Lidiya Vertinskaya,Zoya Vasilkova,Georgi Millyar,Andrey Stapran,Ivan Kuznetsov",Aleksandr Rou,"magic,fantasy,russian,children,king,twins,saving lives,mirror,different worlds,old",,,
38288,38288,False,,1000000,Drama,,135362,tt0492916,English,De uitverkorene,"The two brothers Van der Laan, of strict religion, have been running Holland's most successful software company for 10 years when suddenly their financial manager leaves the firm. The lives of the brothers and their families get turned upside down when they hire a young hot shot financial specialist, in order to pursue their goal to bring the company to the NASDAQ.",0.32369,/52LNvlcP5yick9ZgZGTYLm88bQv.jpg,nan,nan,2006-06-02,0.0,92.0,"Nederlands,English",Released,,The chosen,False,5.3,2.0,2006,"Pierre Bokma,Kees Prins,Tijn Docter,Katja Herbers,Monic Hendrickx",Theu Boermans,"brotherhood,fraud,betrayal,religious fundamentalism",135362.0,61656.0,54166.0
38462,38462,False,,0,"Romance,Drama",,48623,tt0072208,Russian,Sto Dney Posle Detstva,A group of Russian teenagers spend their summer at a summer camp. Mitia falls in love and gets so occupied with his own problems that he forgets about everything else.,0.74439,/ujChofyE4fnTZJIhRNTwHjYkNWB.jpg,Mosfilm,Russia,1975-12-01,0.0,94.0,Pусский,Released,,One Hundred Days After Childhood,False,6.4,5.0,1975,"Boris Tokarev,Tatyana Drubich,Irina Malysheva,Yuri Agilin,Sergey Shakurov,Nina Menshikova",Sergey Solovyov,,,,
38632,38632,False,,0,"Thriller,Drama",,10125,tt0329083,Croatian,Fine mrtve djevojke,"Iva and Maria, a young lesbian pair, rent a favorable, nice dwelling in a less good area of Zagreb, Croatia. But unfortunately, included in the rent are the neighbors, the neighbors from hell. The curious landlady, foreigners flogging nationalists, an old man, who live with his dead wife and a man, who beat his wife regularly, are just one part of this neighbourhood. When one of the neighbors falls in love with Iva, the situation escalates - with the result of three dead people at the end.",0.427798,/QZgDkbLUpewo57tb9euJKFZ3T5.jpg,Alka-Film_Zagreb,Croatia,2002-06-24,0.0,77.0,Hrvatski,Released,A movie about horror that homosexual couples are going through.,Fine Dead Girls,False,5.8,9.0,2002,"Krešimir Mikić,Nina Violić,Olga Pakalović,Inge Appelt,Milan Štrljić,Ivica Vidović,Marina Poklepovic,Ilija Zovko,Jadranka Đokić,Boris Miholjevic,Janko Rakoš,Mirko Boman",Dalibor Matanić,"prostitute,zagreb,lesbian relationship,suspense,homosexuality,gynecologist",,,
38962,38962,False,,0,nan,,131027,tt0080577,Hungarian,Csontváry,"Csontvary Kostka Tivadar was a Hungarian painter, and the actor Latinovitsj Zoltan, who was originally slated to play him in the film, committed suicide during the preliminary planning.",0.143876,/qFUWOxYRSwCIJuXuNE5giYnYKde.jpg,"Hunnia_Filmstúdió,Mafilm",Hungary,1980-10-02,0.0,112.0,Magyar,Released,,Csontvary,False,6.5,2.0,1980,"Itzhak Finzi,István Holl,Andrea Drahota,Dajka Margit,Ágnes Bánfalvy",Zoltán Huszárik,"painter,philosophy,mental disease,biography,painting,war,illness",131027.0,181396.0,53915.0
39803,39803,False,,0,"Fantasy,War,Horror",,71617,tt0449671,Croatian,Živi i mrtvi,"In 1943, group of Croatian soldiers overtake a strategically important point in western Bosnia with a goal to destroy a group of communist partisans. On the way they met some supernatural phenomena, and the action itself went very badly because the partisans ambushed them. The main character Martin inherits silver cigarette case from a dying soldier. This act connects to the story in 1993 when we meet Martins grandson Tomo. He is one of six soldiers of the Croatian army who have come to the same place in Bosnia to meet the same phenomena and similar fate.",1.421035,/9D8vNp0gfSynF6C02s0PQxs7vQB.jpg,"Ultimativne_Medijske_Atrakcije,Mainframe_Productions,Olimp_Produkcija,Porta_Produkcija","Croatia,Bosnia_and_Herzegovina",2007-01-02,0.0,87.0,Hrvatski,Released,,The Living and the Dead,False,5.6,5.0,2007,"Filip Šovagović,Velibor Topic,Slaven Knezović,Marinko Prga,Miro Barnjak",Kristijan Milić,,,,
39807,39807,False,,0,Drama,,284154,tt0118011,Serbian,Ubistvo s predumišljajem,"Men, women, and war. Jelena Panic is a young woman in Belgrade in the early 1990s, during Serbia's war with Croatia; she's making a book of her grandmother's diaries from the end of World War II. She takes up with Bogdan, a young soldier recovering from war wounds. He helps her with her grandmother's story, a tragic triangle involving her effete and well-educated husband and an uneducated major, a Chekist who has, perhaps, the power to save a political prisoner who is the grandmother's friend. As Jelena wonders which man was her grandfather (the Chekist or the husband), Bogdan recovers from his wounds and must decide whether to return to the front. Jelena pleads; duty calls.",0.152705,/lYXnTeMCvBdERYRcxDTe0HlZQou.jpg,Cinema_Design,Serbia,1995-11-15,0.0,94.0,Srpski,Released,,Premeditated Murder,False,8.3,3.0,1995,"Branka Katić,Nebojša Glogovac,Ana Sofrenović,Dragan Mićanović,Sergej Trifunović,Нада Блам,Svetozar Cvetković,Vladan Dujović,Predrag Ejdus,Rade Marković,Dejan Matić,Radoslav Milenković,Gordana Pavlov,​Ljubiša Samardžić",Gorčin Stojanović,"diary,war,romance",,,
41503,41503,False,,0,Comedy,,399814,tt4986786,English,Maz Jobrani: I'm Not a Terrorist But I've Played One on TV,"Comedian Maz Jobrani follows up his bestselling book with a hilarious comedy special of the same title, where he takes on political issues, social issues and his kids through the lens of his Iranian-American background to show that we have a lot more in common than we think.",0.201191,/A6pG0nxkIACeBV27Getb5AXdLOQ.jpg,nan,United_States_of_America,2015-08-21,0.0,77.0,English,Released,,Maz Jobrani: I'm Not a Terrorist But I've Played One on TV,False,7.8,5.0,2015,Maz Jobrani,Maz Jobrani,stand-up comedy,,,
42048,42048,False,,0,"War,Drama,Thriller",,334517,tt3922798,English,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during in the early 1960s.,6.042021,/9r21jawIp226dlQ8dLzwSBrRDNY.jpg,"Parallel_Films,Irish_Film_Board","South_Africa,Ireland",2016-09-19,0.0,108.0,"Français,English,Gaeilge",Released,the Irish army's forgotten battle,The Siege of Jadotville,False,7.3,165.0,2016,"Jamie Dornan,Guillaume Canet,Mark Strong,Emmanuelle Seigner,Jason O'Mara,Mikael Persbrandt,Fiona Glascott,Fionn O'Shea,Conor Quinlan",Richie Smyth,"based on novel,conflict,united nations,congo,katanga conflict",,,
42593,42593,False,,2500000,Comedy,http://www.jimmyvestvood.com/,299641,tt3135556,English,Jimmy Vestvood: Amerikan Hero,A wannabe private investigator wins the Green Card lottery and moves to America to pursue his dream only to find himself embroiled in a conspiracy to start the next world war.,1.216497,/40rpRhar83aVOiRPfveEGe63ghk.jpg,"Worldwide_Media_Conspiracy,Perfect_Nose_Productions,Soul_Mining_Production",United_States_of_America,2016-03-13,230069.0,84.0,English,Released,"Heroes are not born, they are imported.",Jimmy Vestvood: Amerikan Hero,False,5.4,14.0,2016,"Maz Jobrani,John Heard,Deanna Russo,Marshall Manesh,Matthew Glave,Sheila Vand,Sam Golzari,Navid Negahban,Vida Ghahremani,Niousha Jafarian,Waleed Zuaiter",Jonathan Kesselman,,,,
